Timestamp,Enter the last 4 digits of the collar id that you searched for: ,Approximately how long (in minutes) did you spend looking for that collar?,Did you find the collar you were searching for?,Enter the date when the collar was found:,Enter the time when the collar was found:,Approximately how far (in feet) was the collar from the GPS point?,Enter the date you searched for the collar:
11/3/2023 8:40,195d,5,Yes,10/29/2023,6:41:00 AM,5,10/29/2023
11/3/2023 8:41,fa8c,5,Yes,10/29/2023,7:15:00 AM,7,10/29/2023
11/3/2023 8:42,e922,10,Yes,10/29/2023,7:45:00 AM,5,10/29/2023
11/3/2023 8:43,176a,8,Yes,10/29/2023,7:53:00 AM,7,10/29/2023
11/3/2023 8:44,1850,8,Yes,10/29/2023,8:01:00 AM,10,10/29/2024
11/3/2023 8:45,3337,10,Yes,10/29/2023,8:52:00 AM,10,10/29/2023
11/3/2023 8:46,f819,10,No,10/29/2023,,,10/29/2023
11/3/2023 11:15,fab4,3,Yes,11/3/2023,11:15:00 AM,10,11/3/2023
11/3/2023 11:23,164d,2,Yes,10/27/2023,6:40:00 AM,2,10/27/2023
11/3/2023 11:24,E48d,20,Yes,10/27/2023,7:15:00 AM,2,10/27/2023
11/3/2023 11:24,3357,1,Yes,10/27/2023,9:55:00 AM,2,10/27/2023
11/3/2023 11:25,166e,2,Yes,10/27/2023,9:45:00 AM,2,10/27/2023
11/3/2023 11:26,338b,2,Yes,10/27/2023,10:15:00 AM,2,10/27/2023
11/3/2023 11:26,2f7d,2,Yes,10/28/2023,6:50:00 AM,2,10/28/2023
11/3/2023 11:27,1b0b,10,Yes,10/28/2023,6:50:00 AM,2,10/28/2023
11/3/2023 11:28,1855,10,Yes,10/28/2023,7:10:00 AM,2,10/28/2023
11/3/2023 11:28,1805,2,Yes,10/28/2023,7:35:00 AM,2,10/28/2023
11/3/2023 11:29,e44b,15,Yes,10/28/2023,7:40:00 AM,2,10/28/2023
11/3/2023 11:30,168c,10,Yes,10/28/2023,7:50:00 AM,20,10/28/2023
11/3/2023 11:30,1799,6,Yes,10/28/2023,8:10:00 AM,10,10/28/2023
11/3/2023 11:31,1d0d,5,Yes,10/28/2023,8:30:00 AM,20,10/28/2023
11/3/2023 11:32,16cf,5,Yes,10/28/2023,8:35:00 AM,13,10/28/2023
11/3/2023 11:32,1684,5,Yes,10/28/2023,8:40:00 AM,13,10/28/2023
11/3/2023 11:33,3467,10,No,10/28/2023,,,10/28/2023
11/3/2023 11:34,f833,5,Yes,10/28/2023,8:35:00 AM,2,10/28/2023
11/3/2023 11:34,1838,5,Yes,10/28/2023,8:35:00 AM,2,10/28/2023
11/3/2023 11:36,"3b5 (dead yearling collar, last # not legible ",1,Yes,10/28/2023,9:15:00 AM,0,10/28/2023
11/3/2023 11:36,33b6,15,Yes,10/28/2023,9:45:00 AM,2,10/28/2023
11/3/2023 11:37,ed74,15,Yes,10/28/2023,9:50:00 AM,9,10/28/2023
11/3/2023 11:37,164f,15,Yes,10/28/2023,10:45:00 AM,24,10/28/2023
11/3/2023 11:38,3540,1,Yes,10/28/2023,11:05:00 AM,2,10/28/2023
11/3/2023 11:39,17fc,5,Yes,10/28/2023,11:10:00 AM,22,10/28/2023
11/3/2023 11:39,32dc,2,Yes,11/3/2023,8:15:00 AM,15,11/3/2023
11/3/2023 11:40,ef09,5,Yes,11/3/2023,8:20:00 AM,14,11/3/2023
11/3/2023 11:40,ea6d,5,No,11/3/2023,,,11/3/2023
11/4/2023 8:56,Eab2,10,Yes,11/4/2023,8:00:00 AM,5,11/4/2023
11/4/2023 8:57,Fab5,5,Yes,11/4/2023,8:50:00 AM,0,11/4/2023
11/4/2023 9:16,344b,2,Yes,11/4/2023,9:15:00 AM,5,11/4/2023
11/4/2023 9:31,1822,2,Yes,11/4/2023,9:30:00 AM,20,11/4/2023
11/4/2023 9:41,170d,5,Yes,11/4/2023,9:40:00 AM,10,11/4/2023
11/4/2023 9:51,165c,5,Yes,11/4/2023,9:50:00 AM,15,11/4/2023
11/4/2023 10:24,1.70E+05,2,Yes,11/4/2023,10:20:00 AM,13,11/4/2023
11/4/2023 11:10,1762,5,Yes,11/4/2023,11:05:00 AM,5,11/4/2023
11/4/2023 11:37,1824,2,Yes,11/4/2023,11:35:00 AM,10,11/4/2023
11/4/2023 12:12,04c9,5,Yes,11/4/2023,12:10:00 PM,10,11/4/2023
11/4/2023 12:33,17bc,5,Yes,11/4/2023,12:30:00 PM,25,11/4/2023
11/10/2023 9:05,17a0,15,Yes,11/10/2023,9:05:00 AM,3,11/10/2023
11/10/2023 10:32,e6ef,15,Yes,11/10/2023,10:32:00 AM,17,11/10/2023
11/10/2023 11:55,ef5d,5,Yes,11/10/2023,11:55:00 AM,7,11/10/2023
11/10/2023 12:01,Eded,2,Yes,11/12/2023,11:50:00 AM,10,11/12/2023
11/10/2023 12:01,Edd1,5,Yes,11/12/2023,11:50:00 AM,5,11/12/2023
11/10/2023 12:54,Ed73,5,Yes,11/12/2023,12:30:00 PM,25,11/12/2023
11/10/2023 12:55,F27a,2,Yes,11/12/2023,12:25:00 PM,25,11/12/2023
11/10/2023 14:03,E961,1,Yes,11/12/2023,2:05:00 PM,5,11/12/2023
11/11/2023 9:22,E8c2,5,Yes,11/11/2023,9:20:00 AM,10,11/11/2023
11/11/2023 9:36,ef5b,10,Yes,11/11/2023,9:36:00 AM,13,11/11/2023
11/11/2023 9:48,Ea6d,5,Yes,11/11/2023,9:35:00 AM,5,11/11/2023
11/11/2023 9:50,Ef1d,5,Yes,11/11/2023,11:40:00 AM,10,11/11/2023
11/11/2023 10:03,e467,3,Yes,11/11/2023,10:04:00 AM,9,11/11/2023
11/11/2023 10:15,Ea1e,2,Yes,11/11/2023,10:10:00 AM,10,11/11/2023
11/11/2023 10:23,ea7f,8,Yes,11/11/2023,10:23:00 AM,13,11/11/2023
11/11/2023 10:33,e42d,10,Yes,11/11/2023,10:25:00 AM,10,11/11/2023
11/11/2023 10:43,ea88,1,Yes,11/11/2023,10:43:00 AM,31,11/11/2023
11/11/2023 11:06,e97b,20,Yes,11/11/2023,11:06:00 AM,13,11/11/2023
11/11/2023 11:13,Ead9,2,Yes,11/11/2023,11:10:00 AM,10,11/11/2023
11/11/2023 11:14,E9d7,2,Yes,11/11/2023,11:00:00 AM,8,11/11/2023
11/11/2023 11:52,2fcf,2,Yes,11/11/2023,11:50:00 AM,7,11/11/2023
11/11/2023 11:53,d5ab,15,Yes,11/11/2023,11:53:00 AM,2,11/11/2023
11/11/2023 11:59,e924,5,Yes,11/11/2023,11:58:00 AM,14,11/11/2023
11/11/2023 12:09,E9e0,20,No,11/11/2023,,,11/11/2023
11/11/2023 12:41,E8d2,20,No,11/11/2023,,,11/11/2023
